epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,143.85,1.32778,1.32241,1.54311,0.71538,0.61969,0.66966,0.34994,1.57756,1.81811,1.88087,0.000990365,0.000990365,0.000990365
43,147.291,1.26795,1.2812,1.5001,0.82377,0.6023,0.73222,0.37326,1.56745,1.83366,1.84834,0.000973861,0.000973861,0.000973861
44,150.589,1.30952,1.32576,1.5252,0.72281,0.60488,0.64939,0.3203,1.65298,1.5335,1.97617,0.000957358,0.000957358,0.000957358
45,153.912,1.30629,1.30233,1.53427,0.6976,0.53027,0.5599,0.27398,1.67238,2.32674,2.04517,0.000940855,0.000940855,0.000940855
46,157.403,1.28922,1.28949,1.51339,0.6895,0.65476,0.65445,0.31834,1.68393,1.65833,2.00958,0.000924352,0.000924352,0.000924352
47,160.899,1.28315,1.27844,1.51289,0.74073,0.58017,0.72219,0.33128,1.68168,4.17087,1.98433,0.000907848,0.000907848,0.000907848
48,164.253,1.27631,1.29096,1.49784,0.82727,0.61925,0.73585,0.35544,1.59159,1.43621,1.88839,0.000891345,0.000891345,0.000891345
49,167.714,1.28202,1.22832,1.48797,0.66097,0.56484,0.61404,0.29239,1.69241,1.87667,2.04777,0.000874842,0.000874842,0.000874842
50,171.066,1.28354,1.24715,1.51334,0.73329,0.62075,0.6964,0.36408,1.55896,1.41798,1.87943,0.000858338,0.000858338,0.000858338
51,174.403,1.27234,1.22849,1.50128,0.72047,0.61165,0.66771,0.3228,1.69694,1.89609,2.00043,0.000841835,0.000841835,0.000841835
52,177.662,1.2743,1.22022,1.49968,0.7114,0.60854,0.69032,0.35092,1.59016,1.44343,1.9216,0.000825332,0.000825332,0.000825332
53,180.981,1.22855,1.19124,1.46981,0.63921,0.66276,0.6939,0.34187,1.61595,1.53979,1.88958,0.000808828,0.000808828,0.000808828
54,184.365,1.22708,1.18096,1.46269,0.7986,0.62399,0.72568,0.35186,1.63535,2.54937,1.94932,0.000792325,0.000792325,0.000792325
55,187.697,1.23018,1.1766,1.46523,0.76894,0.63463,0.72798,0.35317,1.66869,2.00837,1.9868,0.000775822,0.000775822,0.000775822
56,190.943,1.22806,1.19985,1.47094,0.66962,0.50134,0.58512,0.28089,1.73995,1.83237,2.0601,0.000759318,0.000759318,0.000759318
57,194.328,1.21693,1.1272,1.45436,0.70708,0.6297,0.69689,0.34063,1.70288,1.47353,2.03994,0.000742815,0.000742815,0.000742815
58,197.622,1.21961,1.13309,1.46905,0.73317,0.68313,0.70539,0.35144,1.66164,1.56014,1.98503,0.000726312,0.000726312,0.000726312
59,200.892,1.20425,1.1556,1.46158,0.78573,0.64653,0.74647,0.37421,1.61546,1.36376,2.00626,0.000709809,0.000709809,0.000709809
60,204.216,1.20617,1.14707,1.45687,0.82071,0.66325,0.75896,0.3974,1.61914,2.03024,1.95812,0.000693305,0.000693305,0.000693305
61,207.623,1.19029,1.10799,1.43862,0.70836,0.66223,0.74104,0.36401,1.59751,1.57776,1.94231,0.000676802,0.000676802,0.000676802
62,210.968,1.18131,1.10483,1.43022,0.8137,0.67057,0.73502,0.37274,1.62331,2.05335,1.98717,0.000660299,0.000660299,0.000660299
63,214.312,1.17998,1.10537,1.4331,0.73147,0.67933,0.74398,0.35814,1.65009,1.45242,1.94997,0.000643795,0.000643795,0.000643795
64,217.607,1.1688,1.10713,1.42353,0.84096,0.59002,0.73446,0.38459,1.61803,1.4699,1.93346,0.000627292,0.000627292,0.000627292
65,220.946,1.16481,1.11078,1.43245,0.71717,0.60227,0.68981,0.33971,1.62792,1.75535,1.95189,0.000610789,0.000610789,0.000610789
66,224.287,1.14699,1.07492,1.41357,0.75052,0.58736,0.66582,0.3388,1.59538,1.70447,1.90128,0.000594286,0.000594286,0.000594286
67,227.537,1.16913,1.10125,1.4368,0.70707,0.65978,0.72494,0.37824,1.56104,1.47332,1.90017,0.000577782,0.000577782,0.000577782
68,230.866,1.1452,1.02441,1.40772,0.80999,0.61699,0.72071,0.37271,1.60732,1.51562,1.96202,0.000561279,0.000561279,0.000561279
69,234.138,1.17002,1.09661,1.43851,0.80517,0.61291,0.73082,0.36372,1.61524,1.45338,1.97826,0.000544776,0.000544776,0.000544776
70,237.615,1.14885,1.07263,1.41515,0.69197,0.66921,0.70694,0.375,1.57761,1.68146,1.90961,0.000528272,0.000528272,0.000528272
71,240.981,1.13482,1.04936,1.39029,0.67768,0.69002,0.71038,0.37648,1.58262,1.59643,1.90716,0.000511769,0.000511769,0.000511769
72,244.56,1.12675,0.99356,1.38775,0.76595,0.54914,0.65876,0.32855,1.64967,1.91438,2.02384,0.000495266,0.000495266,0.000495266
73,247.965,1.12695,1.04666,1.4017,0.70752,0.61715,0.6731,0.36801,1.57561,1.5448,1.91628,0.000478762,0.000478762,0.000478762
74,251.319,1.09666,0.99395,1.37312,0.73132,0.5178,0.62634,0.3191,1.66145,1.88767,2.07065,0.000462259,0.000462259,0.000462259
75,254.613,1.10922,1.02082,1.39105,0.78179,0.62141,0.72749,0.38068,1.57137,1.66786,1.8681,0.000445756,0.000445756,0.000445756
76,257.847,1.08961,0.99103,1.37473,0.76436,0.60486,0.7006,0.38426,1.58349,1.80628,1.93038,0.000429253,0.000429253,0.000429253
77,261.176,1.11193,1.00749,1.4027,0.78258,0.6003,0.70802,0.37991,1.53413,2.15592,1.862,0.000412749,0.000412749,0.000412749
78,264.44,1.07823,0.9681,1.36031,0.75333,0.65585,0.70927,0.38389,1.54568,1.47976,1.88453,0.000396246,0.000396246,0.000396246
79,267.743,1.11174,1.00521,1.38299,0.80103,0.68085,0.72984,0.36972,1.56648,1.73513,1.92515,0.000379743,0.000379743,0.000379743
80,271.08,1.07228,0.95193,1.35916,0.77517,0.62867,0.71348,0.3753,1.57226,1.61411,1.8985,0.000363239,0.000363239,0.000363239
