Model,Test Accuracy,Test Loss,Epochs Trained,Final Train-Val Gap
SimpleCNN,0.9665809768637532,0.12154972183746753,19,0.009270416799058379
ResNet18,0.9948586118251928,0.013549592379246573,15,0.0
